ACCOUNT: 
TechSpec Version: 2.0 
Customisation Date: 2026-07-22 
Scan Version: 2.0
FQDN:afs-vm-eastus-elastic-az1-ml-p01.jphjhwchgmwurgklsgogdo0e3h.bx.internal.cloudapp.net 
IP-ADDRESS:192.168.0.7/26 
OS-NAME: RedHatLinux9.8 
Scan-Date: 2026-07-22
Time-Stamp: 08:53:06
********************************************************
SECTION-ID|SECTION-HEADING|SYSTEM-VALUE/PARAMETER|CURRENT-VALUE|TEST-RESULT
IZ1.C.3.1.3.6|Network Configuration / Network Parameters (Host and Router)|Ensure bogus ICMP responses are ignored.|Current value for: net.ipv4.icmp_ignore_bogus_error_responses = 1|Yes
IZ1.C.3.1.3.7|Network Configuration / Network Parameters (Host and Router)|Ensure Reverse Path Filtering is enabled.|Current value for: net.ipv4.conf.all.rp_filter = 1|Yes
IZ1.C.3.1.3.7|Network Configuration / Network Parameters (Host and Router)|Ensure Reverse Path Filtering is enabled.|Current value for: net.ipv4.conf.default.rp_filter = 1|No
IZ1.C.3.1.3.8|Network Configuration / Network Parameters (Host and Router)|Ensure TCP SYN Cookies is enabled.|Current value for: net.ipv4.tcp_syncookies = 1|Yes
IZ1.C.3.1.3.9|Network Configuration / Network Parameters (Host and Router)|Ensure IPv6 router advertisements are not accepted.|IPv4 is enabled|No
IZ1.C.3.2.1.1|Network Configuration/Configure Host Based Firewall/Configure a firewall utility|Ensure nftables is installed|Nftables is installed|Yes
IZ1.C.3.2.1.2|Network Configuration/Configure Host Based Firewall/Configure a firewall utility|Ensure a single firewall configuration utility is in use|A single firewall configuration utility is not in use|No
IZ1.C.3.2.2.1|Network Configuration/Configure Host Based Firewall/Configure a firewall utility|Ensure firewalld default zone is set|Firewalld default zone is set|Yes
IZ1.C.3.2.2.2|Network Configuration/Configure Host Based Firewall/Configure a firewall utility|Ensure at least one nftables table exists|At least one nftables table exists|Yes
IZ1.C.3.2.2.3|Network Configuration/Configure Host Based Firewall/Configure a firewall utility|Ensure nftables base chains exist|Nftables base chains for input do not exist|No
IZ1.C.3.2.2.3|Network Configuration/Configure Host Based Firewall/Configure a firewall utility|Ensure nftables base chains exist|Nftables base chains for forward do not exist|No
IZ1.C.3.2.2.3|Network Configuration/Configure Host Based Firewall/Configure a firewall utility|Ensure nftables base chains exist|Nftables base chains output exist|Yes
IZ1.C.3.2.2.4|Network Configuration / Configure Host Based Firewall / Configure firewall rules|Ensure host based firewall loopback traffic is configured.|Configure the loopback interface to not accept traffic & other accept|No
IZ1.C.3.2.2.5|Network Configuration / Configure Host Based Firewall / Configure firewall rules|Ensure nftables default deny firewall policy|nftables service is not enabled or base chain for input does not exist|No
IZ1.C.3.2.2.5|Network Configuration / Configure Host Based Firewall / Configure firewall rules|Ensure nftables default deny firewall policy|nftables service is not enabled or base chain for forward does not exist|No
IZ1.C.4.1.2.1|Logging and Auditing / Configure Logging.|Ensure all logfiles have appropriate permissions and ownership.|All logfiles don't have appropriate permissions and ownership.|No
IZ1.C.4.1.3.1|Logging and Auditing / Configure Logging / Configure rsyslog.|Ensure rsyslog is installed.|rsyslog package is installed.|Yes
IZ1.C.4.1.3.2|Logging and Auditing / Configure Logging / Configure rsyslog.|Ensure rsyslog service is enabled.|rsyslog service is enabled.|Yes
IZ1.C.4.1.3.3|Logging and Auditing / Configure Logging / Configure rsyslog.|Ensure rsyslog default file permissions are configured..|/etc/rsyslog.conf: rsyslog default file permissions are NOT configured correctly.|No
IZ1.C.4.1.3.3|Logging and Auditing / Configure Logging / Configure rsyslog.|Ensure rsyslog default file permissions are configured..|/etc/rsyslog.d/*.conf: rsyslog default file permissions are configured correctly.|Yes
IZ1.C.4.1.3.4|Logging and Auditing / Configure Logging / Configure rsyslog.|Ensure rsyslog is not configured to receive logs from a remote client.|rsyslog is NOT configured to receive logs from a remote client.|Yes
IZ1.C.4.1.4.1|Logging and Auditing / Configure Logging / Configure journald.|Ensure journald service is enabled.|journald service is enabled.|Yes
IZ1.C.4.1.4.2|Logging and Auditing / Configure Logging / Configure journald.|Ensure journald is configured to compress large log files.|journald is not configured to compress large log files.|No
IZ1.C.4.1.4.3|Logging and Auditing / Configure Logging / Configure journald.|Ensure journald is configured to write logfiles to persistent disk.|journald is not configured to write logfiles to persistent disk|No
IZ1.C.4.1.5.1|Logging and Auditing / Configure Logging / Configure journald / Ensure journald is configured to send logs to a remote log host.|Ensure journald is not configured to receive logs from a remote client.|journald is configured to receive logs from a remote client.|No
IZ1.C.5.1.1.1|Access Authentication and Authorization / Configure time-based job schedulers.|Ensure cron daemon is enabled.|cron daemon is enabled.|Yes
IZ1.C.5.1.1.2|Access Authentication and Authorization / Configure time-based job schedulers.|Ensure permissions on /etc/crontab are configured.|Permissions on /etc/crontab are configured.|Yes
IZ1.C.5.1.1.3|Access Authentication and Authorization / Configure time-based job schedulers.|Ensure permissions on /etc/cron.hourly are configured.|Permissions on /etc/cron.hourly are configured.|Yes
IZ1.C.5.1.1.4|Access Authentication and Authorization / Configure time-based job schedulers.|Ensure permissions on /etc/cron.daily are configured.|Permissions on /etc/cron.daily are configured.|Yes
IZ1.C.5.1.1.5|Access Authentication and Authorization / Configure time-based job schedulers.|Ensure permissions on /etc/cron.weekly are configured.|Permissions on /etc/cron.weekly are configured.|Yes
IZ1.C.5.1.1.6|Access Authentication and Authorization / Configure time-based job schedulers.|Ensure permissions on /etc/cron.monthly are configured.|Permissions on /etc/cron.monthly are configured.|Yes
IZ1.C.5.1.1.7|Access Authentication and Authorization / Configure time-based job schedulers.|Ensure permissions on /etc/cron.d are configured.|Permissions on /etc/cron.d are NOT configured correctly.|No
IZ1.C.5.1.1.8|Access Authentication and Authorization / Configure time-based job schedulers.|Ensure cron is restricted to authorized users.|cron.deny exists.|No
IZ1.C.5.1.1.8|Access Authentication and Authorization / Configure time-based job schedulers.|Ensure cron is restricted to authorized users.|cron is restricted to authorized users.|Yes
IZ1.C.5.1.1.9|Access Authentication and Authorization / Configure time-based job schedulers.|Ensure at is restricted to authorized users.|at.deny exists|No
IZ1.C.5.1.1.9|Access Authentication and Authorization / Configure time-based job schedulers.|Ensure at is restricted to authorized users.|at.allow doesn't exist.|No
IZ1.C.5.1.2.1|Access Authentication and Authorization/Configure SSH Server|Ensure permissions on /etc/ssh/sshd_config are configured|Permissions of 0600 and ownership of 0:0|Yes
IZ1.C.5.1.2.2|Access Authentication and Authorization / Configure SSH Server|Ensure permissions on SSH private host key files are configured.|Permissions on SSH private host key files are configured|Yes
IZ1.C.5.1.2.3|Access Authentication and Authorization / Configure SSH Server|Ensure permissions on SSH public host key files are configured.|Permissions on SSH public host key files are configured|Yes
IZ1.C.5.1.2.4|Access Authentication and Authorization/Configure SSH Server|Ensure SSH access is limited|No matching SSH access control directives found: |No
IZ1.C.5.1.2.5|Access Authentication and Authorization/Configure SSH Server|Ensure SSH LogLevel is appropriate|LogLevel is correctly set to VERBOSE or INFO in sshd configuration.|Yes
IZ1.C.5.1.2.5|Access Authentication and Authorization/Configure SSH Server|Ensure SSH LogLevel is appropriate|No invalid LogLevel entries found in /etc/ssh/sshd_config.|Yes
IZ1.C.5.1.2.6|Access Authentication and Authorization/Configure SSH Server|Ensure SSH PAM is enabled|UsePAM is correctly set to yes in sshd configuration.|Yes
IZ1.C.5.1.2.6|Access Authentication and Authorization/Configure SSH Server|Ensure SSH PAM is enabled|No 'UsePAM no' entries found in /etc/ssh/sshd_config.|Yes
