"Package Name","Target Version","CVE IDs Fixed"
"python3-libs","3.9.25-7.el9_8.2","CVE-2025-12084, CVE-2025-15366, CVE-2025-15367, CVE-2026-0865, CVE-2026-11940, CVE-2026-1299, CVE-2026-15308, CVE-2026-4519, CVE-2026-4786, CVE-2026-6100"
"python3-perf","5.14.0-687.30.1.el9_8","CVE-2025-39797, CVE-2025-40026, CVE-2025-54518, CVE-2025-68214, CVE-2026-23002, CVE-2026-23415, CVE-2026-31530, CVE-2026-31554, CVE-2026-31555, CVE-2026-43450, CVE-2026-52923, CVE-2026-52950, CVE-2026-52973, CVE-2026-52976, CVE-2026-52977, CVE-2026-52993, CVE-2026-53006, CVE-2026-53059, CVE-2026-53202, CVE-2026-53264, CVE-2026-53281, CVE-2026-63807, CVE-2026-64017, CVE-2026-64368, CVE-2026-64530, CVE-2026-64531"
"sg3_utils","1.47-10.el9","None"
"sg3_utils-libs","1.47-10.el9","None"
"tzdata","2026b-1.el9","None"
"vim-common","8.2.2637-26.el9_8.10","CVE-2026-35177, CVE-2026-41411, CVE-2026-46483, CVE-2026-47162, CVE-2026-47167, CVE-2026-52858, CVE-2026-55693, CVE-2026-57455, CVE-2026-57456, CVE-2026-59856, CVE-2026-59858"
"vim-enhanced","8.2.2637-26.el9_8.10","CVE-2026-35177, CVE-2026-41411, CVE-2026-46483, CVE-2026-47162, CVE-2026-47167, CVE-2026-52858, CVE-2026-55693, CVE-2026-57455, CVE-2026-57456, CVE-2026-59856, CVE-2026-59858"
"vim-filesystem","8.2.2637-26.el9_8.10","CVE-2026-35177, CVE-2026-41411, CVE-2026-46483, CVE-2026-47162, CVE-2026-47167, CVE-2026-52858, CVE-2026-55693, CVE-2026-57455, CVE-2026-57456, CVE-2026-59856, CVE-2026-59858"
"vim-minimal","8.2.2637-26.el9_8.10","CVE-2026-35177, CVE-2026-41411, CVE-2026-46483, CVE-2026-47162, CVE-2026-47167, CVE-2026-52858, CVE-2026-55693, CVE-2026-57455, CVE-2026-57456, CVE-2026-59856, CVE-2026-59858"
"zabbix-proxy-sqlite3","7.4.12-release1.el9","None"
"zabbix-selinux-policy","7.4.12-release1.el9","None"
