Customer Name ,Customer Inventory ID ,Security Policy ,Technical Specification ,Server Name ,Server IP ,Operating System ,Section ID ,Section Heading ,System Value Parameter ,Description ,Agreed Value ,Current Value ,Output Result ,Severity ,Scandate ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,2.2.1 ,Configure Service Clients ,Ensure ftp client is not installed ,FTP is a traditional and widely used standard tool for transferring files between a server and clients over a network especially where no authentication is necessary ,Ftp client is not installed ,Ftp client is not installed Output : package ftp is not installed ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,3.2.5 ,Network Configuration ,Ensure SCTP kernel module is not available ,Disable SCTP to reduce attack surface and prevent unnecessary network protocols ,Module must not be loaded and must be blacklisted with install rule ,sctp module not present on system ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,3.2.6 ,Network Parameters (Host Only) ,Ensure tipc kernel module is not available ,Disable TIPC to reduce unnecessary network exposure ,Module must not be loaded and must be blacklisted with install rule , tipc module is not properly disabled (missing blacklist or install rule) ,KO ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,4.1.3 ,Ensure firewalld.service is configured ,Ensure firewalld.service is configured ,firewalld must be enabled and running to provide continuous host-based firewall protection ,firewalld service must be enabled and active ,firewalld service is enabled and running ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,4.1.4 ,Ensure firewalld active zone target is configured ,Ensure firewalld active zone target is configured ,Firewalld zones should default to DROP or BLOCK to deny unsolicited inbound traffic ,All active zones must have target set to DROP or BLOCK ,Zones with insecure target: libvirt(target=) public(target=) ,KO ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,7.1.1 ,System File Permissions ,Ensure access to /etc/passwd is configured ,The /etc/passwd file contains user account information that is used by many system utilities and therefore must be readable for these utilities to operate ,UID and GID are both 0/root and Access is 644 ,File : /etc/passwd Access : 644/-rw-r--r-- Uid : 0/root Gid : 0/root ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,7.1.3 ,System File Permissions ,Ensure access to /etc/group is configured ,The /etc/group file contains a list of all the valid groups defined in the system ,UID and GID are both 0/root and Access is 644 ,File : /etc/group Access : 644/-rw-r--r-- Uid : 0/root Gid : 0/root ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,7.1.2 ,System File Permissions ,Ensure access to /etc/passwd- is configured ,The /etc/passwd- file contains backup user account information ,UID and GID are both 0/root and Access is 644 ,File : /etc/passwd- Access : 644/-rw-r--r-- Uid : 0/root Gid : 0/root ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,7.1.4 ,System File Permissions ,Ensure access to /etc/group- is configured ,The /etc/group- file contains a backup list of all the valid groups defined in the system ,UID and GID are both 0/root and Access is 644 ,File : /etc/group- Access : 644/-rw-r--r-- Uid : 0/root Gid : 0/root ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,7.1.5 ,System File Permissions ,Ensure access to /etc/shadow is configured ,The /etc/shadow file is used to store the information about user accounts that is critical to the security of those accounts such as the hashed password and other security information ,File permissions must be set --------- ,File : /etc/shadow Access : 0/---------- Uid : 0/root Gid : 0/root ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,7.1.7 ,System File Permissions ,Ensure access to /etc/gshadow is configured ,The /etc/gshadow file is used to store the information about groups that is critical to the security of those accounts such as the hashed password and other security information ,Permissions of 0000 and ownership of 0:0 ,File : /etc/gshadow Access : 0/---------- Uid : 0/root Gid : 0/root ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,7.1.6 ,System File Permissions ,Ensure access to /etc/shadow- is configured ,The /etc/shadow- file is used to store backup information about user accounts that is critical to the security of those accounts such as the hashed password and other security information ,Permissions of 0000 and ownership of 0:0 ,File : /etc/shadow- Access : 0/---------- Uid : 0/root Gid : 0/root ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,7.1.8 ,System File Permissions ,Ensure access to /etc/gshadow- is configured ,The /etc/gshadow- file is used to store backup information about groups that is critical to the security of those accounts such as the hashed password and other security information ,Permissions of 0000 and ownership of 0:0 ,File : /etc/gshadow- Access : 0/---------- Uid : 0/root Gid : 0/root ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,7.1.10 ,System File Permissions ,Ensure access to /etc/security/opasswd is configured ,/etc/security/opasswd and its backup /etc/security/opasswd.old hold users previous passwords if pam_unix or pam_pwhistory is in use on the system ,Permissions on /etc/opasswd are configured ,File : /etc/security/opasswd Access : 600/-rw------- Uid : 0/root Gid : 0/root ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,7.1.10 ,System File Permissions ,Ensure access to /etc/security/opasswd is configured ,/etc/security/opasswd and its backup /etc/security/opasswd.old hold users previous passwords if pam_unix or pam_pwhistory is in use on the system ,Permissions on /etc/opasswd are configured ,File /etc/security/opasswd.old does not exist on the server kynrhel8-jump01 ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,7.1.9 ,System File Permissions ,Ensure access to /etc/shells is configured ,/etc/shells is a text file which contains the full pathnames of valid login shells ,Permissions on /etc/shells are configured ,File : /etc/shells Access : 644/-rw-r--r-- Uid : 0/root Gid : 0/root ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,7.1.11 ,System File Permissions ,Ensure world writable files and directories are secured ,World writable files are the least secure ,World writable files and directories are secured , No world writable files exist on the local filesystem. Sticky bit is set on world writable directories on the local filesystem. ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,7.1.12 ,System File Permissions ,Ensure no unowned or ungrouped files or directories exist ,Administrators may delete users or groups from the system and neglect to remove all files and/or directories owned by those users or groups ,No unowned or ungrouped files or directories exist , No unowned files or directories exist on the local filesystem. No ungrouped files or directories exist on the local filesystem. ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,3.1.3 ,Configure Network Devices ,Ensure bluetooth services are not in use ,Bluetooth is a short-range wireless technology standard that is used for exchanging data between devices over short distances ,Bluetooth services are not in use ,Package bluez is installed and bluetooth.service is not active however bluetooth.service is enabled Output : is_package_installed ? = bluez-5.63-1.el8.x86_64 is_service_enabled ? = enabled is_service_active ? = inactive ,KO ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,3.1.2 ,Configure Network Devices ,Ensure wireless interfaces are not available ,Wireless networking is used when wired networks are unavailable ,Wireless interfaces are disabled ,System has no wireless NICs installed ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
